CANTIDAD,MUNICIPIO,PARROQUIA,DENOMINACIÓN,PLAN DE ESTUDIO 1,PLAN DE ESTUDIO 2,PLAN DE ESTUDIO 3,ESPECIALIDAD 3,MENCIÓN 3,PLAN DE ESTUDIO 4,ESPECIALIDAD 4,MENCIÓN 4,PLAN DE ESTUDIO 5,ESPECIALIDAD 5,MENCIÓN 5,PLAN DE ESTUDIO 6,ESPECIALIDAD 6,MENCIÓN 6,PLAN DE ESTUDIO 7,ESPECIALIDAD 7,MENCIÓN 7,PLAN DE ESTUDIO 8,ESPECIALIDAD 8,MENCIÓN 8,PLAN DE ESTUDIO 9,ESPECIALIDAD 9,MENCIÓN 9,PLAN DE ESTUDIO 10,ESPECIALIDAD 10,MENCIÓN 10,NOMBRE NOMINAL DEL PLANTEL,NUEVO EPÓNIMO,CODIGO DEL PLANTEL,CODIGO DEPENDENCIA 1,CODIGO DEPENDENCIA 2,CODIGO ESTADISTICO,DEPENDENCIA,UBICACIÓN GEOGRAFICA,NIVEL,MODALIDAD,TURNOS DEL PLANTEL,METROS 2,MATERNAL FEM,MATERNAL MAS,MATERNAL TOTAL,PREESCOLAR FEM,PREESCOLAR MAS,PREESCOLAR TOTAL,INICIAL FEM,INICIAL MAS,INICIAL TOTAL,PRIMARIA FEM,PRIMARIA MAS,PRIMARIA TOTAL,MEDIA GENERAL FEM,MEDIA GENERAL MAS,MEDIA GENERAL TOTAL,MEDIA TECNICA FEM,MEDIA TECNICA MAS,MEDIA TECNICA TOTAL,ADULTO FEM,ADULTO MAS,ADULTO TOTAL,ESPECIAL FEM,ESPECIAL MAS,ESPECIAL TOTAL,MATRICULA TOTAL,MATERNAL,PREESCOLAR,PRIMARIA,MEDIA GENERAL,MEDIA TECNICA,ADULTO,ESPECIAL,
1,ALBERTO ADRIANI,GABRIEL PICON GONZALEZ,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,ESC-LA PALMITA,JOSE ANTONIO RUJANO,S3064D1401,6565620,,140081,NACIONAL,,,,,,9,5,14,22,20,42,31,25,56,90,79,169,0,0,0,0,0,0,0,0,0,0,0,0,225,14,42,12,,,0,0,
2,ALBERTO ADRIANI,GABRIEL PICON GONZALEZ,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,UEB CAMPO ALEGRE  SEDE DEL NER 338,JOSE ERADO RODRIGUEZ,OD09941401,6970338,,141615,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,5,11,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,
3,ALBERTO ADRIANI,GABRIEL PICON GONZALEZ,COMPLEJO EDUCATIVO,20000,21000,31059,,CIENCIAS,31060,,CIENCIA Y TECNOLOGIA,41052,AGROPECUARIA,TECNOLOGÍA DE LOS ALIMENTOS,45043,SALUD,FARMACIA,,,,,,,,,,,,,LICEO LUIS ALFONZO ACEVEDO QUINTERO,LUIS ALFONZO ACEVEDO QUINTERO,OD17691401,7951012,,142201,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,144,114,258,0,0,0,0,0,0,0,0,0,258,0,0,0,,,0,0,
4,ALBERTO ADRIANI,GABRIEL PICON GONZALEZ,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,U E B LA HONDA,NELSON DE JESUS MEDINA ROJAS,OD01651401,6970338,,140038,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,ALBERTO ADRIANI,GABRIEL PICON GONZALEZ,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,UEB LA COROMOTO,LUIS ENRIQUE GUILLEN,OD10111401,6970338,,141616,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,
6,ALBERTO ADRIANI,GABRIEL PICON GONZALEZ,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,UEB LA LAGUNITA,MATILDE MOLINA,OD10351401,7950716,,140080,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,41,47,88,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,6,0,0,0,0,
7,ALBERTO ADRIANI,HECTOR AMABLE MORA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER 409,SAN RAFAEL,OD10221401,6970409,,140040,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,33,27,60,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,7,0,0,0,0,
8,ALBERTO ADRIANI,HECTOR AMABLE MORA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,ESC SIMON RODRIGUEZ / JI BAILADORES,SIMÓN RODRÍGUEZ,OD01761401,6561780,4100810,140085,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9,ALBERTO ADRIANI,HECTOR AMABLE MORA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,UEB  EZEQUIEL ZAMORA,EZEQUIEL ZAMORA,OD01821401,7950715,,140082,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,39,39,78,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,6,0,0,0,0,
10,ALBERTO ADRIANI,HECTOR AMABLE MORA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,ESCUELA EL CEIBAL,MANUEL CABALLERO,OD02651401,6562521,,141456,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,74,70,144,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,
11,ALBERTO ADRIANI,HECTOR AMABLE MORA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,UE LA ESPERANZA,ANDRES COLMENARES RAMÍREZ,OD15801401,7950714,,141963,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,180,210,390,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,15,0,0,0,0,
12,ALBERTO ADRIANI,HECTOR AMABLE MORA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER 409,EULALIA RAMOS SANCHEZ,OD10271401,6970409,,140045,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,
13,ALBERTO ADRIANI,HECTOR AMABLE MORA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER 409,MARIA DE LA CONCEPCION PALACIOS,OD10241401,6970409,,140042,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,18,34,52,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,7,0,0,0,0,
14,ALBERTO ADRIANI,HECTOR AMABLE MORA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER 409,CERRO AZUL,OD10281401,6970409,,140046,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,
15,ALBERTO ADRIANI,HECTOR AMABLE MORA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,ESCUELA BOLIVARIANA MARIA ELADIA MARQUEZ,MARIA ELADIA MARQUEZ,OD10121401,6970409,,141230,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,30,30,60,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,6,0,0,0,0,
16,ALBERTO ADRIANI,HECTOR AMABLE MORA,COMPLEJO EDUCATIVO,20000,21000,31059,MEDIA GENERAL,CIENCIAS,,,,,,,,,,,,,,,,,,,,,,CB DON RAFAEL ANGEL RONDON MARQUEZ,RAFAEL ANGEL RONDÓN MÁRQUEZ,S1831D1401,7916605,,140096,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,246,275,521,0,0,0,0,0,0,0,0,0,521,0,0,0,18,0,0,0,
17,ALBERTO ADRIANI,HECTOR AMABLE MORA,COMPLEJO EDUCATIVO,20000,21000,31059,,CIENCIAS,41049,AGROPECUARIA,CIENCIAS AGRÍCOLAS Y PECUARIAS,,,,,,,,,,,,,,,,,,,DON RAFAEL ANGEL RONDON MARQUEZ,SANTIAGO MARIÑO,OD17781401,7916605,,140096,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,55,46,101,0,0,0,0,0,0,0,0,0,101,0,0,0,5,0,0,0,
18,ALBERTO ADRIANI,JOSE NUCETE SARDI,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,ESCUELA JOSE FELIX RIBAS,JOSE FELIX RIBAS,OD10071401,6970409,,141565,NACIONAL,,,,,,0,0,0,5,4,9,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,
19,ALBERTO ADRIANI,PRESIDENTE ROMULO BETANCOURT,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,CEA EL VIGIA,ORLANDO ARAUJO,ON09831401,6393685,,141282,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,28,27,55,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,5,0,0,0,0,
20,ALBERTO ADRIANI,PRESIDENTE ROMULO BETANCOURT,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER-NUC ESC RURAL N 338,JESÚS MANUEL QUINTERO MUÑOZ,OD10101401,6970338,,141856,NACIONAL,,,,,,0,0,0,10,12,22,10,12,22,38,50,88,0,0,0,0,0,0,0,0,0,0,0,0,110,0,22,6,,,0,0,
21,ALBERTO ADRIANI,PRESIDENTE ROMULO BETANCOURT,COMPLEJO EDUCATIVO,20000,21000,31059,,CIENCIAS,41049,AGROPECUARIA,CIENCIAS AGRÍCOLAS Y PECUARIAS,,,,,,,,,,,,,,,,,,,LB MARIA CHIQUINQUIRA MARQUEZ DE PIRELA,MARÍA CHIQUINQUIRA MÁRQUEZ DE PIRELA,OD17711401,7951189,,142127,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,22,21,43,0,0,0,0,0,0,53,0,0,0,,,0,0,
22,ALBERTO ADRIANI,PRESIDENTE ROMULO BETANCOURT,PREESCOLAR,20000,,,,,,,,,,,,,,,,,,,,,,,,,,JARDIN DE INFANCIA BOLIVARIANO ROSA VIRGINIA MARTINES ARAUJO,ROSA VIRGINIA MARTINEZ ARAUJO,OD16171401,6970126,,140070,NACIONAL,,,,,,6,8,14,33,35,68,39,43,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,4,0,0,0,0,0,
23,ALBERTO ADRIANI,PRESIDENTE PAEZ,PREESCOLAR,20000,,,,,,,,,,,,,,,,,,,,,,,,,,JI JOSE ANTONIO PAEZ,JOSE ANTONIO PAEZ,OD01771401,4104765,,140002,NACIONAL,,,,,,0,0,0,32,42,74,32,42,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,4,0,0,0,0,0,
24,ALBERTO ADRIANI,PRESIDENTE PAEZ,PREESCOLAR,20000,,,,,,,,,,,,,,,,,,,,,,,,,,PREESCOLAR BUBUQUI III,EDUARDO ENRIQUE CONTRERAS,OD01741401,4170296,,140001,NACIONAL,,,,,,7,10,17,30,28,58,37,38,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2,3,0,0,0,0,0,
25,ALBERTO ADRIANI,PRESIDENTE PAEZ,COMPLEJO EDUCATIVO,20000,21000,31059,,CIENCIAS,41052,AGROPECUARIA,TECNOLOGÍA DE LOS ALIMENTOS,,,,,,,,,,,,,,,,,,,LICEO LUISA CACERES DE ARISMENDI,LUISA CACERES DE ARISMENDI,OD04681401,7950610,,140021,NACIONAL,,,,,,0,0,0,10,14,24,10,14,24,43,38,81,65,68,133,0,0,0,0,0,0,0,0,0,238,0,2,6,5,0,0,0,
26,ALBERTO ADRIANI,PRESIDENTE PAEZ,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,ESCUELA DE EDUCACIÓN INICIAL NACIONAL MARÍA ANTONIA DÁVILA,MARIA ANTONIA DAVILA,OD17481401,4170735,,142176,NACIONAL,,,,,,26,26,52,98,93,191,124,119,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,3,9,0,0,0,0,0,
27,ALBERTO ADRIANI,PRESIDENTE PAEZ,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,ESC URQUIA MARU,URQUIA MARU,OD04691401,6970126,,140070,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,37,44,81,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,6,0,0,0,0,
28,ALBERTO ADRIANI,PRESIDENTE PAEZ,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,ESC BAS ANDRES BELLO,JOSE ANANIAS MARQUEZ,OD17791401,6561456,,142253,NACIONAL,,,,,,8,10,18,20,22,42,28,32,60,156,156,312,0,0,0,0,0,0,0,0,0,0,0,0,372,1,3,13,0,0,0,0,
29,ALBERTO ADRIANI,PRESIDENTE PAEZ,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,UENB ONIA CAÑO ISABEL,ONIA CAÑO ISABEL,OD01811401,7950598,,140065,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,100,149,249,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,11,0,0,0,0,
30,ALBERTO ADRIANI,PRESIDENTE PAEZ,LICEO,,,31059,,CIENCIAS,,,,,,,,,,,,,,,,,,,,,,U E  12 DE FEBRERO,-31367,S2183D1401,7933012,,140017,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
31,ALBERTO ADRIANI,PRESIDENTE PAEZ,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,ESC BAS ANDRES BELLO,ANDRES BELLO,OD01801401,6561456,,140015,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,229,232,461,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,18,,,0,0,
32,ALBERTO ADRIANI,PRESIDENTE PAEZ,ESCUELA PARA EL EMPRENDIMIENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,CEA CUATRICENTENARIO,CONCEPCIÓN MARIÑO,ON09971401,6392700,,141644,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,ALBERTO ADRIANI,PRESIDENTE PAEZ,LICEO,,,31059,,CIENCIAS,,,,,,,,,,,,,,,,,,,,,,LBN CARMEN  C   CARRERO,CARMEN CONSUELO CARRERO,OD17511401,7950957,,412080,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,202,159,361,0,0,0,0,0,0,0,0,0,361,0,0,0,15,0,0,0,
34,ALBERTO ADRIANI,PRESIDENTE PAEZ,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,GE LIBERTADOR BOLIVAR,LIBERTADOR BOLIVAR,OD00491401,6737021,,141645,NACIONAL,,,,,,0,0,0,12,16,28,12,16,28,106,118,224,0,0,0,0,0,0,0,0,0,0,0,0,252,0,2,12,0,0,0,0,
35,ALBERTO ADRIANI,PRESIDENTE PAEZ,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,ESCUELA SUR AMERICA,VICENTE SALIAS,OD01751401,6568292,,140078,NACIONAL,,,,,,0,0,0,26,26,52,26,26,52,111,97,208,0,0,0,0,0,0,0,0,0,0,0,0,260,0,3,11,0,0,0,0,
36,ALBERTO ADRIANI,PRESIDENTE PAEZ,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,GE MAURICIO ENCINOSO,MAURICIO ENCINOSO,OD01831401,6737550,,141622,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,265,283,548,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,22,0,0,0,0,
37,ALBERTO ADRIANI,PRESIDENTE PAEZ,PREESCOLAR,20000,,,,,,,,,,,,,,,,,,,,,,,,,,J L MAURICIOENCINOSO,GUILLERMO BRICEÑO,OD17631401,4106930,,142198,NACIONAL,,,,,,0,0,0,76,74,150,76,74,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,8,0,0,0,0,0,
