DEPENDENCIA;CODIGO ESTADISTICO;NOMBRE DEL PLANTEL;PROBLEMA
140412;MITISUS;LAS PIEDRAS;Ningún trabajador tiene datos de cuadratura.
140460;21208;ARAPUEY;Ningún trabajador tiene datos de cuadratura.
40;COCINERO;COCINERO I;Ningún trabajador tiene datos de cuadratura.
40;ENCUADERNADOR;OBRERO CERTIFICADO III (CALIFICADO) GRADO 7;Ningún trabajador tiene datos de cuadratura.
40;DESPENSERO;OBRERO GENERAL IV (NO CALIFICADO) GRADO 4;Ningún trabajador tiene datos de cuadratura.
DESCONOCIDA;ARICAGUA;ARICAGUA;Ningún trabajador tiene datos de cuadratura.
DESCONOCIDA;MUCUTUY;ARZOBISPO CHACON;Ningún trabajador tiene datos de cuadratura.
DESCONOCIDA;JAJI;CAMPO ELIAS;Ningún trabajador tiene datos de cuadratura.
DESCONOCIDA;OD19090103;CENTRO DE EDUCACION INICIAL TRIBILIN HUGUITO;Ningún trabajador tiene datos de cuadratura.
DESCONOCIDA;ON16261406;ESCUELA PARA EL EMPRENDIMIENTO ANA MARQUEZ;Ningún trabajador tiene datos de cuadratura.
DESCONOCIDA;OD03541414;GABRIEL MARCIANO PARRA;Ningún trabajador tiene datos de cuadratura.
DESCONOCIDA;PALMIRA;JULIO CESAR;Ningún trabajador tiene datos de cuadratura.
DESCONOCIDA;MILLA;LIBERTADOR;Ningún trabajador tiene datos de cuadratura.
DESCONOCIDA;SAGRARIO;LIBERTADOR;Ningún trabajador tiene datos de cuadratura.
DESCONOCIDA;MUCURUBA;RANGEL;Ningún trabajador tiene datos de cuadratura.
DESCONOCIDA;ZEA;ZEA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD12311410;21208;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD15461417;ADA MARINA RIVAS;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON15001421;ANA JULIA CONTRERAS DE RODRIGUEZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON14991421;ANANIAS AVENDAÑO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD16351411;BELLA VISTA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD01881414;CARMEN AURORA VERA DE VARELA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD04441414;CARMEN MALDONADO DE VIELMA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON15531412;CCAO LA MILAGROSA);Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON11501406;CEBA MIGUEL LORENZO GIL CHIPIA;Ningún trabajador tiene datos de cuadratura.
